波长/nm,前视相机PAN,B1,B2 ,B3,B4
879,0.79,0.004,0.001,0.001,0.785
880,0.786,0.004,0.001,0.001,0.786
881,0.784,0.003,0.001,0.001,0.781
882,0.783,0.003,0.001,0.001,0.777
883,0.781,0.003,0.001,0.001,0.773
884,0.78,0.003,0.001,0.001,0.768
885,0.778,0.003,0.001,0.001,0.764
886,0.776,0.003,0.001,0.001,0.719
887,0.774,0.003,0.001,0.001,0.675
888,0.773,0.003,0.001,0.001,0.63
889,0.771,0.003,0.001,0.001,0.585
890,0.769,0.003,0.001,0.001,0.541
891,0.764,0.003,0.001,0.001,0.472
892,0.759,0.003,0.001,0.001,0.403
893,0.754,0.002,0.001,0.001,0.334
894,0.748,0.002,0.001,0.001,0.265
895,0.743,0.002,0.001,0.001,0.196
896,0.722,0.002,0.001,0.001,0.166
897,0.701,0.002,0.001,0.001,0.136
898,0.68,0.002,0.001,0.001,0.107
899,0.659,0.002,0.001,0.001,0.077
900,0.638,0.002,0.001,0.001,0.047
901,0.559,0.002,0.001,0.001,0.04
902,0.479,0.002,0.001,0,0.033
903,0.399,0.002,0.001,0,0.026
904,0.32,0.001,0.001,0,0.019
905,0.24,0.001,0.001,0,0.012
906,0.199,0.001,0.001,0,0.01
907,0.158,0.001,0.001,0,0.009
908,0.117,0.001,0.001,0,0.007
909,0.076,0.001,0.001,0,0.005
910,0.034,0.001,0,0,0.003
911,0.029,0.001,0,0,0.003
912,0.023,0.001,0,0,0.002
913,0.017,0.001,0,0,0.002
914,0.011,0.001,0,0,0.001
915,0.005,0.001,0,0,0.001
916,0.004,0.001,0,0,0.001
917,0.004,0.001,0,0,0
918,0.003,0.001,0,0,0
919,0.002,0.001,0,0,0
920,0.001,0.001,0,0,0
921,0.001,0.001,0,0,0
922,0.001,0.001,0,0,0
923,0.001,0.001,0,0,0
924,0.001,0.001,0,0,0
925,0,0.001,0,0,0
926,0,0.001,0,0,0
927,0,0.001,0,0,0
928,0,0.001,0,0,0
929,0,0.001,0,0,0
930,0,0.001,0,0,0
931,0,0.001,0,0,0
932,0,0.001,0,0,0
933,0,0.001,0,0,0
934,0,0.001,0,0,0
935,0,0.001,0,0,0
936,0,0.001,0,0,0
937,0,0.001,0,0,0
938,0,0.001,0,0,0
939,0,0.001,0,0,0
940,0,0.001,0,0,0
941,0,0.001,0,0,0
942,0,0.001,0,0,0
943,0,0.001,0,0,0
944,0,0.001,0,0,0
945,0,0.001,0,0,0
946,0,0,0,0,0
947,0,0,0,0,0
