spec,PAN,B1,B2,B3,B4
602,4.30E-01,1.80E-03,2.30E-03,4.10E-03,6.10E-03
603,4.34E-01,1.50E-03,1.50E-03,4.60E-03,6.60E-03
604,4.37E-01,1.20E-03,9.00E-04,5.10E-03,7.10E-03
605,4.41E-01,1.00E-03,6.00E-04,5.10E-03,7.10E-03
606,4.45E-01,8.00E-04,4.00E-04,5.10E-03,7.10E-03
607,4.51E-01,7.00E-04,3.00E-04,5.60E-03,8.70E-03
608,4.56E-01,6.00E-04,2.00E-04,6.10E-03,1.02E-02
609,4.62E-01,5.00E-04,1.00E-04,6.60E-03,1.17E-02
610,4.68E-01,4.00E-04,1.00E-04,7.10E-03,1.32E-02
611,4.76E-01,3.00E-04,1.00E-04,8.20E-03,1.42E-02
612,4.84E-01,3.00E-04,1.00E-04,9.20E-03,1.52E-02
613,4.92E-01,2.00E-04,1.00E-04,1.02E-02,1.52E-02
614,5.01E-01,2.00E-04,0.00E+00,1.12E-02,1.52E-02
615,5.10E-01,2.00E-04,0.00E+00,1.32E-02,1.37E-02
616,5.19E-01,1.00E-04,0.00E+00,1.52E-02,1.22E-02
617,5.29E-01,1.00E-04,0.00E+00,1.93E-02,1.06E-02
618,5.38E-01,1.00E-04,0.00E+00,2.34E-02,9.10E-03
619,5.47E-01,1.00E-04,0.00E+00,2.94E-02,8.10E-03
620,5.57E-01,1.00E-04,0.00E+00,3.55E-02,7.10E-03
621,5.66E-01,1.00E-04,0.00E+00,4.82E-02,7.10E-03
622,5.73E-01,1.00E-04,0.00E+00,6.08E-02,7.10E-03
623,5.81E-01,1.00E-04,0.00E+00,8.46E-02,7.10E-03
624,5.88E-01,1.00E-04,0.00E+00,1.08E-01,7.10E-03
625,5.95E-01,0.00E+00,0.00E+00,1.54E-01,7.60E-03
626,6.01E-01,0.00E+00,0.00E+00,2.00E-01,8.10E-03
627,6.05E-01,0.00E+00,0.00E+00,2.78E-01,9.10E-03
628,6.09E-01,0.00E+00,0.00E+00,3.55E-01,1.01E-02
629,6.11E-01,0.00E+00,0.00E+00,4.55E-01,1.26E-02
630,6.12E-01,0.00E+00,0.00E+00,5.56E-01,1.51E-02
631,6.14E-01,0.00E+00,0.00E+00,6.48E-01,1.86E-02
632,6.17E-01,0.00E+00,0.00E+00,7.40E-01,2.21E-02
633,6.19E-01,0.00E+00,0.00E+00,7.93E-01,2.36E-02
634,6.21E-01,0.00E+00,0.00E+00,8.46E-01,2.51E-02
635,6.25E-01,0.00E+00,0.00E+00,8.66E-01,2.36E-02
636,6.29E-01,0.00E+00,0.00E+00,8.86E-01,2.21E-02
637,6.33E-01,0.00E+00,0.00E+00,8.94E-01,1.96E-02
638,6.38E-01,0.00E+00,0.00E+00,9.02E-01,1.70E-02
639,6.44E-01,1.00E-04,0.00E+00,9.12E-01,1.50E-02
640,6.50E-01,1.00E-04,0.00E+00,9.21E-01,1.30E-02
641,6.57E-01,1.00E-04,0.00E+00,9.32E-01,1.20E-02
642,6.63E-01,1.00E-04,0.00E+00,9.43E-01,1.10E-02
643,6.70E-01,1.00E-04,0.00E+00,9.53E-01,1.10E-02
644,6.76E-01,1.00E-04,0.00E+00,9.64E-01,1.10E-02
645,6.83E-01,1.00E-04,1.00E-04,9.71E-01,1.20E-02
646,6.90E-01,1.00E-04,1.00E-04,9.77E-01,1.30E-02
647,6.95E-01,1.00E-04,1.00E-04,9.80E-01,1.45E-02
648,7.00E-01,1.00E-04,1.00E-04,9.83E-01,1.60E-02
649,7.05E-01,1.00E-04,1.00E-04,9.84E-01,1.90E-02
650,7.10E-01,1.00E-04,1.00E-04,9.86E-01,2.20E-02
651,7.14E-01,1.00E-04,0.00E+00,9.89E-01,2.35E-02
652,7.17E-01,1.00E-04,0.00E+00,9.91E-01,2.50E-02
653,7.19E-01,1.00E-04,0.00E+00,9.94E-01,2.44E-02
654,7.21E-01,1.00E-04,0.00E+00,9.96E-01,2.39E-02
655,7.21E-01,1.00E-04,0.00E+00,9.98E-01,2.19E-02
656,7.21E-01,1.00E-04,0.00E+00,1.00E+00,1.99E-02
657,7.20E-01,1.00E-04,0.00E+00,9.99E-01,1.74E-02
658,7.19E-01,1.00E-04,0.00E+00,9.98E-01,1.49E-02
659,7.18E-01,1.00E-04,0.00E+00,9.96E-01,1.34E-02
660,7.16E-01,1.00E-04,0.00E+00,9.92E-01,1.19E-02
661,7.12E-01,1.00E-04,0.00E+00,9.84E-01,1.14E-02
662,7.08E-01,1.00E-04,0.00E+00,9.76E-01,1.09E-02
663,7.02E-01,1.00E-04,0.00E+00,9.66E-01,1.14E-02
664,6.96E-01,1.00E-04,0.00E+00,9.57E-01,1.19E-02
665,6.90E-01,1.00E-04,0.00E+00,9.49E-01,1.39E-02
666,6.84E-01,1.00E-04,0.00E+00,9.41E-01,1.59E-02
667,6.77E-01,1.00E-04,0.00E+00,9.36E-01,1.89E-02
668,6.71E-01,1.00E-04,0.00E+00,9.30E-01,2.18E-02
669,6.65E-01,1.00E-04,0.00E+00,9.27E-01,2.48E-02
670,6.59E-01,1.00E-04,0.00E+00,9.24E-01,2.78E-02
671,6.54E-01,1.00E-04,0.00E+00,9.21E-01,2.68E-02
672,6.50E-01,1.00E-04,0.00E+00,9.19E-01,2.58E-02
673,6.48E-01,1.00E-04,0.00E+00,9.16E-01,2.18E-02
674,6.45E-01,1.00E-04,1.00E-04,9.12E-01,1.78E-02
675,6.44E-01,1.00E-04,1.00E-04,9.07E-01,1.44E-02
